,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
326,Before You Go,Before You Go,Lewis Capaldi,2019-11-19,215106,75,0.459,0.604,0.459,0.575,0.0,0.0885,-4.858,0.0573,111.881,4
327,My Only One (No Hay Nadie Más),My Only One (No Hay Nadie Más),Sebastian Yatra,2018-07-27,198280,64,0.727,0.693,0.727,0.526,0.0,0.116,-6.307,0.0378,105.086,4
328,Live Before I Die - Naughty Boy x Mike Posner,Live Before I Die (Naughty Boy x Mike Posner),Naughty Boy,2019-11-15,213825,47,0.575,0.44,0.575,0.622,9.38e-05,0.11,-7.513,0.0338,105.051,4
329,Move On,A Real Good Kid,Mike Posner,2019-01-18,178400,54,0.736,0.207,0.736,0.688,0.499,0.402,-5.736,0.0478,102.009,4
330,I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,2016-05-06,197933,77,0.664,0.0353,0.664,0.714,8.42e-06,0.0843,-6.645,0.111,101.969,4
331,SOS (feat. Aloe Blacc),TIM,Avicii,2019-06-06,157202,72,0.802,0.272,0.802,0.645,0.0,0.119,-6.181,0.0715,100.001,4
332,Salienciazinha,Salienciazinha,Dynho Alves,2019-05-03,135593,0,0.741,0.258,0.741,0.862,6.55e-06,0.117,-4.859,0.0546,159.862,4
333,Voltei pras putas,Voltei pras putas,MC GP,2019-03-22,137195,49,0.896,0.0405,0.896,0.459,1.39e-05,0.0864,-2.318,0.0939,132.906,4
334,Starving,HAIZ,Hailee Steinfeld,2016-07-15,181880,0,0.695,0.379,0.695,0.615,0.0,0.104,-4.194,0.104,99.817,4
335,Con Calma,Con Calma,Daddy Yankee,2019-01-24,193226,79,0.737,0.11,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,4
336,Estações,[C]Alma,Onze:20,2019-10-25,197826,0,0.458,0.0383,0.458,0.61,0.0,0.101,-7.492,0.0614,136.86,4
337,Chama Ela (feat. Pedro Sampaio),Chama Ela (feat. Pedro Sampaio),Lexa,2019-09-20,120200,53,0.888,0.46,0.888,0.841,9.12e-05,0.0568,-1.933,0.147,149.994,4
338,Poquito,Kisses,Anitta,2019-04-05,175670,49,0.701,0.509,0.701,0.852,0.0,0.309,-4.03,0.126,144.837,4
339,Essa Eu Fiz Pro Nosso Amor,ANTI-HERÓI,Jão,2019-10-10,194566,63,0.822,0.612,0.822,0.39,0.0,0.11,-9.324,0.0868,129.895,4
340,SENTADÃO,SENTADÃO,PEDRO SAMPAIO,2019-11-22,143448,64,0.68,0.178,0.68,0.869,0.0,0.223,-1.94,0.0589,173.997,4
341,É só você voltar,É só você voltar / Portões,UM44K,2019-08-23,176617,45,0.708,0.323,0.708,0.667,0.0,0.0976,-6.779,0.0449,110.08,4
342,Qué Pasa,Qué Pasa,Projota,2019-10-25,196771,47,0.937,0.0415,0.937,0.571,0.0,0.469,-7.426,0.227,104.894,4
343,O Pai Tá Livre,O Pai Tá Livre,Jerry Smith,2019-06-21,150670,10,0.954,0.503,0.954,0.613,0.0,0.083,-5.771,0.183,130.032,4
344,YoYo,YoYo,Gloria Groove,2019-06-13,156521,0,0.777,0.126,0.777,0.735,0.0,0.0778,-2.108,0.231,92.039,4
345,MIL GRAU,ALEGORIA,Gloria Groove,2019-11-12,145979,0,0.822,0.462,0.822,0.977,1.17e-06,0.0489,-1.431,0.0509,97.094,4
346,Combatchy (feat. MC Rebecca),Combatchy (feat. MC Rebecca),Anitta,2019-11-20,157600,63,0.826,0.383,0.826,0.73,0.000374,0.0197,-3.032,0.0809,150.134,4
347,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,0,0.824,0.693,0.824,0.592,0.000158,0.178,-6.4,0.0969,98.074,4
348,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,80,0.794,0.0125,0.794,0.793,0.0,0.0952,-4.521,0.0842,123.941,4
349,Complicado,Complicado,Vitão,2019-10-04,179339,49,0.734,0.57,0.734,0.484,0.0,0.224,-7.486,0.13,130.05,4
350,Invocada (Participação especial de Léo Santana) - Ao vivo,Hello mundo (Ao vivo),LUDMILLA,2019-05-31,157494,57,0.776,0.478,0.776,0.864,0.0,0.932,-4.281,0.0517,134.992,4
351,Kills You Slowly,World War Joy,The Chainsmokers,2019-05-31,213333,0,0.696,0.0518,0.696,0.429,0.0,0.128,-8.736,0.0554,149.967,4
352,Outro Dia,Outro Dia,Various Artists,2019-03-21,232524,6,0.841,0.313,0.841,0.303,7.14e-06,0.0926,-14.794,0.389,128.061,4
353,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")","Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,2019-04-19,215315,65,0.591,0.381,0.591,0.705,0.000116,0.131,-6.519,0.079,121.799,4
354,Megamix do Baile,Megamix do Baile,DENNIS,2019-05-24,224368,35,0.847,0.475,0.847,0.847,0.0,0.118,-6.92,0.353,149.947,4
355,Hit Contagiante,Hit Contagiante,Various Artists,2019-07-26,137125,57,0.819,0.132,0.819,0.684,0.0,0.0942,-7.169,0.119,170.187,4
356,This Feeling,Sick Boy,The Chainsmokers,2018-12-14,197946,73,0.575,0.0558,0.575,0.571,0.0,0.0912,-7.906,0.0439,105.049,4
357,Jesus In LA,Jesus In LA,Alec Benjamin,2019-07-16,172606,1,0.767,0.537,0.767,0.627,0.0,0.359,-4.096,0.0401,94.028,4
358,Grip,Grip,Seeb,2018-12-06,198074,56,0.598,0.331,0.598,0.904,0.0,0.264,-2.293,0.0507,138.091,4
359,Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,Preto no Branco (Ao Vivo),Preto no Branco,2015-12-04,390386,66,0.384,0.815,0.384,0.362,0.0,0.313,-7.414,0.0274,92.411,4
360,Takeaway (feat. Lennon Stella),World War Joy...Takeaway,The Chainsmokers,2019-07-24,209893,1,0.294,0.12,0.294,0.505,0.0,0.0977,-8.106,0.042,85.332,1
361,Minha Morada - Ao Vivo,Pra Te Contar os Meus Segredos (Ao Vivo),Isadora Pompeo,2017-11-03,411000,0,0.492,0.107,0.492,0.435,0.0,0.948,-8.633,0.0292,139.989,4
362,Para Que Entre o Rei - Ao Vivo,Uma Coisa (Ao Vivo),Morada,2017-02-28,398562,0,0.48,0.134,0.48,0.558,0.0,0.121,-8.593,0.038,130.028,4
363,Deus e Eu,Deus e Eu,Leandro Borges,2018-03-15,229598,0,0.589,0.757,0.589,0.409,0.0,0.146,-7.145,0.0302,126.999,4
364,Don't Check On Me (feat. Justin Bieber & Ink),Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown,2019-06-25,204880,0,0.66,0.873,0.66,0.395,0.0,0.112,-5.242,0.0333,81.997,4
365,comethru,"summer,",Jeremy Zucker,2018-09-28,181613,78,0.795,0.607,0.795,0.178,0.0,0.623,-11.991,0.0574,93.982,4
366,Post Malone (feat. RANI),Magnets EP,Sam Feldt,2019-05-24,174444,70,0.59,0.0771,0.59,0.642,0.0,0.105,-3.87,0.122,107.356,4
367,"Don't Give Up On Me - (From ""Five Feet Apart"")","Don't Give Up On Me (From ""Five Feet Apart"")",Andy Grammer,2019-02-13,196187,0,0.641,0.0875,0.641,0.537,9.05e-06,0.115,-5.452,0.0282,112.864,4
368,You Need To Calm Down,You Need To Calm Down,Taylor Swift,2019-06-14,171386,17,0.768,0.00838,0.768,0.678,0.0,0.0596,-5.604,0.0505,85.025,4
369,It's You,It's You,Ali Gatie,2019-06-14,212606,1,0.732,0.374,0.732,0.463,0.0,0.194,-6.972,0.0287,95.971,4
370,On A Roll,On A Roll,Ashley O,2019-06-14,154447,58,0.736,0.077,0.736,0.81,0.0,0.0523,-6.354,0.0906,125.011,4
371,South of the Border (feat. Camila Cabello & Cardi B),No.6 Collaborations Project,Ed Sheeran,2019-07-12,204466,77,0.857,0.148,0.857,0.621,0.0,0.0865,-6.376,0.0825,97.989,4
372,Take Me Back to London (feat. Stormzy),No.6 Collaborations Project,Ed Sheeran,2019-07-12,189733,66,0.885,0.219,0.885,0.762,0.0,0.162,-5.513,0.216,138.058,4
373,Uma nora pra cada dia,Uma nora pra cada dia,MC Kevinho,2019-06-28,131200,48,0.888,0.0394,0.888,0.528,0.0,0.0964,-8.751,0.192,150.181,4
374,Easier,Easier,5 Seconds of Summer,2019-05-23,157492,1,0.505,0.489,0.505,0.428,0.0,0.0977,-5.604,0.221,175.813,4
375,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,84,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4
376,"Garupa, Pt. 2","Garupa, Pt. 2",Dj Henrique de Ferraz,2019-03-18,142499,0,0.947,0.705,0.947,0.921,0.0035,0.0621,-2.988,0.378,130.022,4
377,One Thing Right,One Thing Right,Marshmello,2019-06-21,181823,74,0.659,0.0644,0.659,0.625,0.0,0.582,-2.253,0.045,88.042,4
378,BLOW (with Chris Stapleton & Bruno Mars),BLOW (with Chris Stapleton & Bruno Mars),Ed Sheeran,2019-07-05,209120,63,0.631,0.000245,0.631,0.796,0.0115,0.38,-5.35,0.0401,92.469,4
379,Best Part of Me (feat. YEBBA),Best Part of Me (feat. YEBBA),Ed Sheeran,2019-07-05,243266,65,0.565,0.762,0.565,0.242,9.3e-06,0.285,-8.367,0.0318,81.657,4
380,Raridade,Raridade,Anderson Freire,2013-03-25,297726,63,0.517,0.65,0.517,0.613,0.0,0.281,-5.804,0.031,134.002,4
381,Miracle (feat. Vic Brow),Miracle (feat. Vic Brow),JØRD,2018-10-05,209696,50,0.643,0.162,0.643,0.841,7.02e-05,0.268,-5.95,0.0407,123.93,4
382,Ousado Amor,Isaias Saad,Isaias Saad,2018-08-07,333902,63,0.37,0.057,0.37,0.553,1.84e-06,0.0917,-6.112,0.0294,110.657,4
383,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,2019-06-28,197866,76,0.64,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,92.977,4
384,I’m So Sorry,Smoke + Mirrors (Deluxe),Imagine Dragons,2015-05-18,230226,63,0.528,0.144,0.528,0.687,0.0,0.251,-5.954,0.0532,142.605,4
385,Only Human,Happiness Begins,Jonas Brothers,2019-06-07,183000,71,0.795,0.108,0.795,0.496,0.0,0.0645,-5.883,0.0722,94.01,4
386,O Que Dizer de Você,OutroEu,OUTROEU,2017-04-28,194106,39,0.367,0.305,0.367,0.591,9.99e-05,0.11,-7.465,0.0308,171.761,3
387,Sucker,Sucker,Jonas Brothers,2019-03-01,181040,5,0.842,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,137.958,4
388,Señorita,Señorita,Shawn Mendes,2019-06-21,190960,80,0.759,0.037,0.759,0.54,0.0,0.0945,-6.039,0.0287,116.947,4
389,All You Need To Know (feat. Calle Lehmann),All You Need To Know (feat. Calle Lehmann),Gryffin,2019-03-27,238458,60,0.513,0.00968,0.513,0.788,0.0,0.11,-4.629,0.0364,139.987,4
390,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2019-04-25,163804,74,0.661,0.179,0.661,0.723,1.23e-05,0.14,-6.976,0.0566,113.778,4
391,Birds (feat. Elisa),Birds,Imagine Dragons,2019-06-20,219434,66,0.627,0.0219,0.627,0.527,0.0,0.16,-7.012,0.0294,119.995,4
392,A Pessoa Certa - Ao Vivo,Misturadin 2 (Ao Vivo),Turma do Pagode,2019-02-15,198253,0,0.513,0.75,0.513,0.572,0.0,0.599,-10.706,0.0332,165.955,4
393,REMEDY,REMEDY,Alesso,2018-08-31,190295,66,0.601,0.269,0.601,0.775,0.0,0.0883,-4.612,0.0473,119.964,4
394,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2018-07-12,173799,76,0.56,0.555,0.56,0.68,0.0,0.116,-7.648,0.321,89.391,4
395,Dois Trabalhos,Dois Trabalhos,Donas,2018-07-06,188798,38,0.949,0.39,0.949,0.805,2.95e-06,0.0574,-3.609,0.0527,102.032,4
396,Detesto Despedidas,Detesto Despedidas,Lagum,2019-03-29,174720,38,0.801,0.0856,0.801,0.663,8.55e-06,0.117,-9.307,0.108,94.053,4
397,Sabe,Sabe,Ana Gabriela,2018-06-08,131602,49,0.852,0.755,0.852,0.499,0.0,0.374,-5.044,0.0827,109.976,4
398,Andar Sozinho (feat. Jão),Andar Sozinho (feat. Jão),Lagum,2019-05-10,180213,39,0.785,0.176,0.785,0.439,0.0,0.335,-8.223,0.0374,130.021,4
399,Evoluiu,Evoluiu,MC Kevin o Chris,2019-03-15,179644,58,0.776,0.466,0.776,0.465,0.0,0.363,-6.368,0.434,149.829,4
400,Way Up,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,153773,62,0.585,0.03,0.585,0.941,8.41e-06,0.196,-3.278,0.145,130.024,4
401,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,174893,63,0.766,0.0166,0.766,0.881,2.3e-06,0.347,-5.158,0.137,112.027,5
402,Invincible,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,196386,62,0.724,0.141,0.724,0.6,0.000218,0.104,-4.391,0.29,86.984,4
403,Start a Riot,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,171466,66,0.728,0.0128,0.728,0.727,0.0,0.0882,-3.585,0.206,143.144,4
404,Hide (feat. Seezyn),Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,205800,77,0.715,0.0622,0.715,0.639,0.0,0.157,-5.017,0.0752,149.996,4
405,Let Go,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,177653,60,0.764,0.463,0.764,0.725,5.91e-06,0.109,-8.812,0.0576,100.063,4
406,Scared of the Dark (feat. XXXTENTACION),Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,233000,71,0.443,0.0468,0.443,0.623,0.0,0.247,-6.717,0.0718,79.365,4
407,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,219400,64,0.58,0.176,0.58,0.935,0.0,0.514,-4.847,0.293,129.173,4
408,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,211360,61,0.604,0.00608,0.604,0.736,0.109,0.11,-5.596,0.0555,118.012,4
409,Como Que Eu Tô,Como Que Eu Tô,Mc Kitinho,2017-11-16,172696,0,0.933,0.41,0.933,0.806,0.0998,0.072,-0.604,0.217,130.078,4
410,Bilhete 2.0 (feat. Luccas Carlos),Crise,Rashid,2018-01-19,223488,58,0.628,0.177,0.628,0.724,0.0,0.095,-6.741,0.216,87.986,4
411,O Retorno de Saturno,Detonautas Acústico,Detonautas Roque Clube,2010-03-09,231920,55,0.502,0.0673,0.502,0.796,5.18e-06,0.871,-7.699,0.0317,144.009,4
412,Epitáfio,A Melhor Banda De Todos Os Tempos Da Última Semana,Titãs,2001-04-04,175373,65,0.723,0.481,0.723,0.611,1.44e-05,0.11,-7.006,0.0303,111.813,4
413,Bola Rebola,Bola Rebola,Tropkillaz,2019-02-22,193440,65,0.834,0.22,0.834,0.777,0.00609,0.335,-4.538,0.0593,129.984,4
414,Face My Fears (English Version),Face My Fears,Hikaru Utada,2019-01-18,222013,56,0.628,0.0105,0.628,0.751,0.0,0.119,-7.041,0.0991,159.965,3
415,Grupo bom,Grupo bom,UM44K,2018-11-23,180669,46,0.79,0.685,0.79,0.566,0.0,0.0886,-6.402,0.0413,121.948,4
416,Drink About,Drink About,Seeb,2018-04-06,182265,0,0.624,0.144,0.624,0.745,0.0,0.257,-2.936,0.0628,99.971,4
417,Calypso,Calypso,Luis Fonsi,2018-06-14,200346,59,0.866,0.138,0.866,0.859,0.0,0.401,-3.087,0.0587,109.972,4
418,Be Your Friend,Be Your Friend,Vigiland,2018-03-02,180820,0,0.608,0.0645,0.608,0.755,0.0,0.155,-4.197,0.0478,128.038,4
419,Tenerife Sea,x (Wembley Edition),Ed Sheeran,2015-11-13,241346,58,0.53,0.697,0.53,0.346,1.07e-05,0.105,-10.497,0.0376,121.876,4
420,Segue o Fluxo,Narciso,R. Diaz,2018-04-05,168902,7,0.381,0.17,0.381,0.558,0.00403,0.285,-8.327,0.0708,86.62,3
421,Ouvi Dizer,Melim,Melim,2018-06-08,210889,66,0.641,0.0745,0.641,0.614,0.0,0.093,-7.847,0.0532,81.011,4
422,Morena,Morena,Vitor Kley,2018-06-08,163098,0,0.643,0.262,0.643,0.761,0.0,0.119,-4.071,0.226,167.934,4
423,Favela,Favela,Alok,2018-08-17,185104,58,0.777,0.0125,0.777,0.812,0.00233,0.0264,-3.206,0.0598,103.023,4
424,Quer mais?,Quer mais?,POCAH,2018-11-01,175061,51,0.826,0.193,0.826,0.791,8.6e-05,0.0533,-4.605,0.0806,150.026,4
425,N,N,Nando Reis,2018-12-14,214464,58,0.517,0.718,0.517,0.479,0.0,0.115,-8.201,0.028,149.182,4
426,Deixa (feat. Ana Gabriela),Deixa (feat. Ana Gabriela),Lagum,2018-02-23,176025,68,0.554,0.822,0.554,0.326,0.0,0.193,-8.223,0.0599,81.998,4
427,Sou Favela,Sou Favela,Ruanzinho,2018-08-21,172173,47,0.716,0.0306,0.716,0.66,0.0,0.287,-4.365,0.0497,150.067,4
428,Provocar,Provocar,Lexa,2018-11-22,168138,55,0.682,0.182,0.682,0.826,0.0,0.052,-4.854,0.0528,134.067,4
429,Finalidade Era Ficar em Casa,Finalidade Era Ficar em Casa,MC Kevin o Chris,2018-10-12,185652,46,0.81,0.571,0.81,0.978,0.212,0.0846,-3.949,0.198,149.888,4
430,Eu Mereço Ser Feliz - Ao Vivo,A Voz Do Meu Samba - Ao Vivo,Mumuzinho,2018-10-26,194090,61,0.665,0.598,0.665,0.821,0.0,0.917,-6.096,0.0545,106.097,4
431,Pouca Pausa,Pouca Pausa,Clau,2018-06-15,279756,63,0.886,0.194,0.886,0.583,0.0,0.0922,-6.639,0.149,103.006,4
432,Louca e Desandada,Louca e Desandada - Single,Pedro Paulo & Alex,2017-04-28,179069,10,0.859,0.0216,0.859,0.929,0.0,0.177,-1.626,0.0786,133.972,4
433,Vamos pra Gaiola,Vamos pra Gaiola,MC Kevin o Chris,2019-01-11,161600,55,0.872,0.917,0.872,0.971,0.00143,0.121,-5.576,0.281,149.987,4
434,Coisa de Casa,OutroEu,OUTROEU,2017-04-28,214960,42,0.627,0.399,0.627,0.635,0.0,0.123,-5.859,0.0326,114.998,4
435,Quem Me Dera,Quem Me Dera,Márcia Fellipe,2018-10-16,147990,52,0.815,0.115,0.815,0.723,0.0,0.184,-3.611,0.0574,149.918,4
436,You And Me,Lifehouse,Lifehouse,2005-03-22,195493,74,0.459,0.114,0.459,0.427,0.0,0.168,-7.734,0.0267,139.902,3
437,Qualidade De Vida - Ao Vivo,Qualidade De Vida (Ao Vivo),Simone & Simaria,2019-01-09,154417,44,0.832,0.621,0.832,0.833,0.0,0.645,-2.38,0.0975,135.049,4
438,No Place,No Place,Backstreet Boys,2019-01-04,179746,46,0.716,0.146,0.716,0.533,0.0,0.0913,-5.44,0.0281,91.997,4
439,Happy Now,Happy Now,Zedd,2018-07-18,207029,70,0.503,0.579,0.503,0.741,1.49e-06,0.0712,-5.128,0.047,88.335,3
440,Lake Effect Kid,Lake Effect Kid,Fall Out Boy,2018-08-23,220533,48,0.566,0.00959,0.566,0.949,1.1e-05,0.313,-2.285,0.0536,142.006,4
441,Someone You Loved,Breach,Lewis Capaldi,2018-11-08,182160,74,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4
442,Agora é Tudo Meu,Agora é Tudo Meu,DENNIS,2018-12-07,171998,59,0.848,0.7,0.848,0.933,2.81e-06,0.184,-3.306,0.106,139.998,4
443,Kikadinha,Kikadinha,Jerry Smith,2018-06-12,146086,24,0.756,0.143,0.756,0.662,0.000475,0.039,-6.15,0.265,184.091,4
444,Be Alright,Be Alright,Dean Lewis,2018-06-29,196373,79,0.553,0.697,0.553,0.586,0.0,0.0813,-6.319,0.0362,126.684,4
445,Reggaeton,Reggaeton,J Balvin,2018-11-17,158800,67,0.747,0.0165,0.747,0.74,9.94e-05,0.101,-4.325,0.191,176.059,4
446,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Origins (Deluxe),Imagine Dragons,2018-11-09,210933,70,0.634,0.000479,0.634,0.662,0.00142,0.111,-7.543,0.0325,90.011,4
447,Genius,Genius,Sia,2018-05-03,213040,0,0.622,0.0864,0.622,0.621,9.8e-05,0.121,-4.924,0.129,158.946,4
448,2002,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,186986,0,0.697,0.0372,0.697,0.683,0.0,0.137,-2.881,0.117,96.133,4
449,"Let Me Live (feat. Anne-Marie, Mr Eazi & D Double E) [My Nu Leng Remix]","Let Me Live (feat. Anne-Marie, Mr Eazi & D Double E) [My Nu Leng Remix]",Rudimental,2018-06-30,262250,15,0.437,0.0537,0.437,0.89,0.0,0.0801,-3.875,0.087,134.894,4
450,Dancing Alone,Dancing Alone,Axwell /\ Ingrosso,2018-06-29,253770,0,0.699,0.0853,0.699,0.94,0.0,0.336,-5.969,0.208,122.079,3
451,Glory,Glory,The Score,2018-06-29,166640,0,0.569,0.13,0.569,0.621,2.01e-06,0.0808,-4.759,0.0322,84.966,4
452,Sua Mãe Vai Me Amar,Sua Mãe Vai Me Amar,Turma do Pagode,2018-06-28,183758,66,0.571,0.4,0.571,0.816,0.0,0.808,-6.011,0.0374,163.941,4
453,Juramento do Dedinho,Juramento do Dedinho,Mano Walter,2018-04-27,164808,43,0.712,0.463,0.712,0.548,0.0,0.13,-5.487,0.0568,143.912,3
454,3 Dias Virado,Só Explosão,Various Artists,2017-12-22,207157,0,0.823,0.0202,0.823,0.474,0.0,0.201,-9.29,0.0503,95.05,4
455,Menina Braba,Menina Braba,Jerry Smith,2018-03-23,180976,41,0.887,0.0457,0.887,0.573,0.0,0.0936,0.612,0.121,129.951,4
456,Unlonely,Unlonely,Jason Mraz,2018-06-14,231272,38,0.796,0.399,0.796,0.666,0.0,0.238,-4.848,0.0409,97.986,4
457,Meu Abrigo,Melim,Melim,2018-06-08,231474,68,0.658,0.214,0.658,0.572,0.0,0.125,-7.527,0.0304,92.011,4
458,Walk It Talk It,Culture II,Migos,2018-01-26,276147,0,0.909,0.0717,0.909,0.631,0.0,0.108,-5.447,0.205,145.968,4
459,Din Din Din (Participação especial de MC Pupio e MC Doguinha),Din Din Din (Participação especial de MC Pupio e MC Doguinha),LUDMILLA,2018-06-06,184607,50,0.869,0.214,0.869,0.622,0.0,0.0527,-5.841,0.23,140.039,4
460,Born To Be Yours,Born To Be Yours,Kygo,2018-06-15,193320,59,0.688,0.3,0.688,0.688,0.0,0.0982,-5.84,0.0357,114.011,4
461,Start Again (feat. Logic),13 Reasons Why (Season 2),Selena Gomez,2018-05-18,165626,61,0.564,0.162,0.564,0.722,0.0,0.0931,-5.59,0.124,99.083,4
462,You Deserve Better,You Deserve Better / At My Weakest,James Arthur,2018-06-01,207773,53,0.516,0.0322,0.516,0.56,0.0,0.15,-7.116,0.486,98.94,4
463,Three Little Birds,Three Little Birds,Maroon 5,2018-06-09,201167,51,0.711,0.0362,0.711,0.653,0.00482,0.149,-7.501,0.0776,156.051,4
464,Live It Up - Official Song 2018 FIFA World Cup Russia,Live It Up (Official Song 2018 FIFA World Cup Russia),Nicky Jam,2018-05-25,207977,61,0.582,0.00573,0.582,0.944,1.27e-06,0.547,-0.928,0.185,143.97,4
465,One Way Or Another,Atomic: The Very Best Of Blondie,Blondie,1998-01-01,208360,53,0.445,0.00402,0.445,0.872,0.00909,0.047,-6.294,0.0602,162.407,4
466,Bad At Love,hopeless fountain kingdom (Deluxe),Halsey,2017-06-02,181279,0,0.664,0.057,0.664,0.753,0.0,0.088,-3.589,0.0323,118.253,4
467,Chasing Cars,Eyes Open,Snow Patrol,2006-01-01,267933,77,0.563,0.209,0.563,0.592,5.08e-05,0.132,-4.571,0.0276,104.016,4
468,Hall of Fame (feat. will.i.am),#3 Deluxe Version,The Script,2012-09-10,202533,79,0.421,0.0654,0.421,0.873,0.0,0.123,-4.343,0.0564,84.786,4
469,Girls Like You (feat. Cardi B) - Cardi B Version,Girls Like You (feat. Cardi B),Maroon 5,2018-05-30,235545,71,0.851,0.568,0.851,0.541,0.0,0.13,-6.825,0.0505,124.959,4
470,DNCE,DNCE,DNCE,2016-11-18,230680,0,0.824,0.00516,0.824,0.737,0.00013,0.247,-5.838,0.0443,114.037,4
471,Body Moves,DNCE,DNCE,2016-11-18,236453,0,0.655,0.00165,0.655,0.699,0.0,0.0378,-5.142,0.0385,102.033,4
472,Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,0,0.774,0.156,0.774,0.764,0.0,0.0383,-5.445,0.0518,118.997,4
473,Doctor You,DNCE,DNCE,2016-11-18,192013,0,0.708,0.00374,0.708,0.839,2.75e-05,0.192,-4.59,0.0667,123.014,4
474,Toothbrush,DNCE,DNCE,2016-11-18,231813,0,0.557,0.12,0.557,0.791,0.0,0.397,-5.771,0.138,104.908,4
475,Blown,DNCE,DNCE,2016-11-18,197453,0,0.628,0.00132,0.628,0.948,1.56e-06,0.0971,-4.64,0.0462,129.986,4
476,Almost,DNCE,DNCE,2016-11-18,175853,0,0.687,0.777,0.687,0.523,0.0,0.147,-7.42,0.0309,92.012,4
477,Naked,DNCE,DNCE,2016-11-18,236173,0,0.706,0.0222,0.706,0.66,0.0,0.0454,-4.44,0.0481,128.91,4
478,Truthfully,DNCE,DNCE,2016-11-18,182653,0,0.72,0.271,0.72,0.649,0.0,0.335,-6.886,0.0354,102.042,4
479,Zoom,DNCE,DNCE,2016-11-18,221853,0,0.68,0.0013,0.68,0.738,0.0,0.182,-5.389,0.0377,125.03,4
480,Pay My Rent,DNCE,DNCE,2016-11-18,193400,0,0.689,0.0781,0.689,0.731,0.0,0.0925,-5.928,0.0644,112.978,4
481,Unsweet,DNCE,DNCE,2016-11-18,200746,0,0.753,0.000546,0.753,0.702,8.05e-05,0.181,-4.786,0.0563,111.965,4
482,Good Day,DNCE,DNCE,2016-11-18,218973,0,0.721,0.0666,0.721,0.673,0.0,0.187,-4.94,0.0461,110.008,4
483,Be Mean,DNCE,DNCE,2016-11-18,211240,0,0.703,0.0633,0.703,0.754,0.0,0.0681,-5.12,0.0639,93.989,4
484,Ao Vivo E A Cores,Intensamente Hoje!,Matheus & Kauan,2018-05-10,180304,52,0.668,0.0131,0.668,0.526,0.0,0.147,-6.174,0.0352,135.032,4
485,Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,80,0.68,0.331,0.68,0.578,0.0,0.135,-5.804,0.04,145.038,4
486,Ginga (Participação especial de Rincon Sapiência),Ginga (Participação especial de Rincon Sapiência),IZA,2018-03-23,180625,50,0.716,0.185,0.716,0.972,0.0,0.198,-1.131,0.319,127.887,5
487,Delicate,reputation,Taylor Swift,2017-11-10,232253,0,0.75,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4
488,Say Something (feat. Chris Stapleton),Man of the Woods,Justin Timberlake,2018-02-02,278893,70,0.707,0.103,0.707,0.632,1.09e-05,0.0841,-7.031,0.0789,97.04,4
